"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 31 18:33:48 GMT 2025","Fri Oct 31 18:34:30 GMT 2025","41329","","ru.pflb.tests.MainPageTests","","ru.pflb.tests.MainPageTests","addProductsInBasketTest","Провекрка работы счётчика корзины: добавление 3 товаров",""
"passed","Fri Oct 31 18:34:09 GMT 2025","Fri Oct 31 18:34:32 GMT 2025","22919","","ru.pflb.tests.SearchResultsPageTests","","ru.pflb.tests.SearchResultsPageTests","findProductByQueryTest","Проверка поиска товара: iPhone 15",""
"passed","Fri Oct 31 18:34:32 GMT 2025","Fri Oct 31 18:34:45 GMT 2025","13353","","ru.pflb.tests.SearchResultsPageTests","","ru.pflb.tests.SearchResultsPageTests","findProductByQueryTest","Проверка поиска товара: телевизор SAMSUNG",""
"passed","Fri Oct 31 18:33:48 GMT 2025","Fri Oct 31 18:34:09 GMT 2025","20375","","ru.pflb.tests.SearchResultsPageTests","","ru.pflb.tests.SearchResultsPageTests","findProductByQueryTest","Проверка поиска товара: ноутбук asus",""
"passed","Fri Oct 31 18:33:28 GMT 2025","Fri Oct 31 18:33:32 GMT 2025","3440","","ru.pflb.tests.AuthTests","","ru.pflb.tests.AuthTests","unSuccessLoginTest","Провекрка неуспешной авторизации",""
"failed","Fri Oct 31 18:33:48 GMT 2025","Fri Oct 31 18:34:33 GMT 2025","44854","","ru.pflb.tests.BasketPageTests","","ru.pflb.tests.BasketPageTests","shouldContainExactlySelectedProducts","Проверка корректности содержимого корзины: добавление 3 товаров",""
"passed","Fri Oct 31 18:34:36 GMT 2025","Fri Oct 31 18:34:53 GMT 2025","17640","","ru.pflb.tests.BasketPageTests","","ru.pflb.tests.BasketPageTests","shouldCalculateTotalSumCorrectly","Проверка суммирования добавленных товаров в корзине: добавление 3 товаров",""
"passed","Fri Oct 31 18:34:35 GMT 2025","Fri Oct 31 18:34:39 GMT 2025","3926","","ru.pflb.tests.MainPageTests","","ru.pflb.tests.MainPageTests","openMainPageTest","Провекрка корректного захода на страницу",""
"passed","Fri Oct 31 18:34:30 GMT 2025","Fri Oct 31 18:34:35 GMT 2025","4890","","ru.pflb.tests.MainPageTests","","ru.pflb.tests.MainPageTests","mainPageElementsVisibilityTest","Провекрка отображения основных элементов страницы",""
"failed","Fri Oct 31 18:33:30 GMT 2025","Fri Oct 31 18:33:34 GMT 2025","4082","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","userLifecycleTest","Провекрка жизненного цикла пользователя",""
"passed","Fri Oct 31 18:33:32 GMT 2025","Fri Oct 31 18:33:35 GMT 2025","2553","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","buyCarNoMoneyTest","Покупка автомобиля при недостатке средств",""
"passed","Fri Oct 31 18:33:33 GMT 2025","Fri Oct 31 18:33:36 GMT 2025","2883","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","buyCarToUserTest","Проверка покупки автомобиля",""
"passed","Fri Oct 31 18:33:48 GMT 2025","Fri Oct 31 18:34:36 GMT 2025","47274","","ru.pflb.tests.BasketPageTests","","ru.pflb.tests.BasketPageTests","filedBasketPageElementsVisibilityTest","Провекрка отображения основных элементов страницы с непустой корзиной: добавление 3 товаров",""
"passed","Fri Oct 31 18:33:32 GMT 2025","Fri Oct 31 18:33:33 GMT 2025","985","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","addUserWithInvalidDataTest","Провекрка попытки добавления невалидного пользователя",""
"passed","Fri Oct 31 18:34:33 GMT 2025","Fri Oct 31 18:34:40 GMT 2025","6341","","ru.pflb.tests.BasketPageTests","","ru.pflb.tests.BasketPageTests","emptyBasketPageElementsVisibilityTest","Провекрка отображения основных элементов страницы с пустой корзиной",""
"passed","Fri Oct 31 18:33:32 GMT 2025","Fri Oct 31 18:33:34 GMT 2025","1807","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","addNegativeMoneyToUserTest","Проверка попытки начисления отрицательной суммы пользователю",""
"passed","Fri Oct 31 18:33:34 GMT 2025","Fri Oct 31 18:33:36 GMT 2025","1688","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","addMoneyToUserTest","Провекрка начисления денег прользователю начисление денег: 243.06",""
"passed","Fri Oct 31 18:33:28 GMT 2025","Fri Oct 31 18:33:32 GMT 2025","4004","","ru.pflb.tests.AuthTests","","ru.pflb.tests.AuthTests","successLoginTest","Проверка успешной авторизации пользователь: admin",""
"passed","Fri Oct 31 18:33:29 GMT 2025","Fri Oct 31 18:33:34 GMT 2025","4857","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","addMoneyToUserTest","Провекрка начисления денег прользователю начисление денег: 50.00",""
"passed","Fri Oct 31 18:33:32 GMT 2025","Fri Oct 31 18:33:32 GMT 2025","521","","ru.pflb.tests.AuthTests","","ru.pflb.tests.AuthTests","successLoginTest","Проверка успешной авторизации пользователь: user",""
"failed","Fri Oct 31 18:33:29 GMT 2025","Fri Oct 31 18:33:34 GMT 2025","5248","","ru.pflb.tests.CarTests","","ru.pflb.tests.CarTests","carLifecycleTest","Провекрка жизненного цикла автомобиля",""
